state,county,city,lat,lon
KY,JEFFERSON,LOUISVILLE,38.19381,-85.643487
TX,JEFFERSON,PORT ARTHUR,29.81654,-94.151376
TX,HARRIS,HOUSTON,29.775183,-95.31025
TX,FORT BEND,HOUSTON,29.569261,-95.814288
TX,MONTGOMERY,HOUSTON,30.321348,-95.477781
TX,WALLER,HOUSTON,29.975163,-96.025574
TX,AUSTIN,HOUSTON,29.871129,-96.280086
TX,LIBERTY,HOUSTON,30.163359,-94.810595
TX,CHAMBERS,HOUSTON,29.752496,-94.686378
TX,GALVESTON,HOUSTON,29.37635,-94.852064
TX,BRAZORIA,HOUSTON,29.213186,-95.477781
LA,WEST BATON ROUGE,NA,30.47512,-91.327642
LA,ST. CHARLES,NA,29.927366,-90.337189
LA,JEFFERSON,NA,29.649869,-90.11207
LA,ORLEANS,NA,30.112687,-89.88793
LA,ST. BERNARD,NA,29.879791,-89.322695
LA,PLAQUEMINES,NA,29.324005,-89.474218
LA,EAST BATON ROUGE,NA,30.569359,-91.09694
LA,IBERVILLE,NA,30.289918,-91.404825
LA,ASCENSION,NA,30.20173,-90.943847
LA,ST. JOHN THE BAPTIST,NA,30.111833,-90.487992
